Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature List
------------------------------

nFeatures = 100

feature | (x,y)=val
--------+-----------------
      0 | (247, 75)=80215 
      1 | ( 94,132)=78604 
      2 | ( 94,122)=74360 
      3 | (106,127)=72622 
      4 | (246, 85)=61637 
      5 | (295, 98)=56093 
      6 | ( 96,215)=55524 
      7 | (295, 87)=53710 
      8 | (285, 79)=48522 
      9 | (115,116)=48050 
     10 | (295,108)=46381 
     11 | (115,137)=45009 
     12 | ( 26,139)=42990 
     13 | ( 33,169)=42589 
     14 | ( 90, 76)=41511 
     15 | ( 27,149)=40650 
     16 | (145, 62)=40299 
     17 | ( 32,159)=39102 
     18 | ( 94,205)=38661 
     19 | ( 34,189)=38380 
     20 | ( 33,179)=37963 
     21 | (128,203)=37834 
     22 | (272, 99)=36078 
     23 | (259,156)=35933 
     24 | (287,163)=35488 
     25 | (273, 80)=34699 
     26 | (286,182)=32861 
     27 | (285,193)=32627 
     28 | (282,151)=32582 
     29 | (256,168)=31806 
     30 | (263, 88)=31282 
     31 | (260, 74)=30631 
     32 | (105,117)=30137 
     33 | ( 91, 86)=29977 
     34 | (262,100)=29531 
     35 | ( 82, 24)=28727 
     36 | ( 30,199)=28427 
     37 | ( 31,215)=28086 
     38 | (105,137)=27738 
     39 | (137,145)=27727 
     40 | (157, 62)=27259 
     41 | (285, 89)=26789 
     42 | (136,125)=26323 
     43 | (259,146)=25959 
     44 | ( 95,195)=24704 
     45 | (219,197)=23162 
     46 | (257,178)=23162 
     47 | (220,212)=23069 
     48 | (171,190)=22195 
     49 | (208,189)=21353 
     50 | (244, 96)=21265 
     51 | (142,169)=21096 
     52 | (150,123)=20358 
     53 | (148,150)=19983 
     54 | (277,208)=19110 
     55 | ( 94,149)=18880 
     56 | (289,209)=18830 
     57 | (137,135)=18385 
     58 | ( 80,176)=18175 
     59 | (139,179)=18151 
     60 | (287,118)=18049 
     61 | (274, 70)=17393 
     62 | ( 94,185)=17129 
     63 | (114, 61)=16560 
     64 | (146, 96)=16201 
     65 | ( 94,168)=16102 
     66 | (136,155)=15589 
     67 | (167, 64)=14186 
     68 | (208, 40)=13981 
     69 | (254,110)=13850 
     70 | (151,140)=13806 
     71 | (161,111)=13566 
     72 | (208, 51)=13120 
     73 | (183,113)=12797 
     74 | (208, 62)=12590 
     75 | (237, 73)=12291 
     76 | (114,212)=12286 
     77 | (261,207)=12072 
     78 | (195, 48)=11772 
     79 | ( 60,141)=11670 
     80 | (104,148)=11558 
     81 | (209,199)=11456 
     82 | (194, 58)=11377 
     83 | ( 57, 38)=11345 
     84 | ( 72,186)=11297 
     85 | (119, 40)=11189 
     86 | ( 55, 48)=10943 
     87 | ( 55,130)=10911 
     88 | ( 76,142)=10850 
     89 | (194, 68)=10819 
     90 | ( 60, 28)=10657 
     91 | (170,200)=10655 
     92 | ( 30,122)=10577 
     93 | (195, 38)=10485 
     94 | (271,110)=10398 
     95 | (183,103)=10202 
     96 | (285,108)= 9923 
     97 | (171,125)= 9186 
     98 | ( 53, 58)= 8999 
     99 | (242,206)= 8816 
