Feel free to place comments here.


!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
!!! Warning:  This is a KLT data file.  Do not modify below this line !!!

------------------------------
KLT Feature Table
------------------------------

nFrames = 10, nFeatures = 150

feature |          frame
        |                     0                     1                     2                     3                     4                     5                     6                     7                     8                     9
--------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      0 | ( 247.0,  75.0)=80215 ( 244.9,  75.1)=    0 ( 245.0,  75.0)=    0 ( 240.6,  75.0)=    0 ( 238.6,  75.0)=    0 ( 236.5,  75.0)=    0 ( 234.4,  74.9)=    0 ( 232.3,  74.9)=    0 ( 230.2,  74.9)=    0 ( 228.2,  74.9)=    0 
      1 | (  94.0, 132.0)=78604 (  91.0, 132.0)=    0 (  91.0, 132.0)=    0 (  85.0, 131.7)=    0 (  82.1, 131.5)=    0 (  79.1, 131.5)=    0 (  76.3, 131.4)=    0 (  73.4, 131.2)=    0 (  70.5, 131.1)=    0 (  67.6, 131.1)=    0 
      2 | (  94.0, 122.0)=74360 (  91.0, 122.0)=    0 (  91.0, 122.0)=    0 (  85.1, 121.8)=    0 (  82.1, 121.6)=    0 (  79.2, 121.6)=    0 (  76.3, 121.5)=    0 (  73.4, 121.3)=    0 (  70.6, 121.2)=    0 (  67.7, 121.2)=    0 
      3 | ( 106.0, 127.0)=72622 ( 103.0, 127.0)=    0 ( 103.0, 127.0)=    0 (  97.1, 127.0)=    0 (  94.2, 126.9)=    0 (  91.3, 126.9)=    0 (  88.5, 126.8)=    0 (  85.6, 126.8)=    0 (  82.7, 126.7)=    0 (  79.9, 126.6)=    0 
      4 | ( 246.0,  85.0)=61637 ( 243.9,  85.0)=    0 ( 244.0,  85.0)=    0 ( 239.6,  84.7)=    0 ( 237.5,  84.6)=    0 ( 235.5,  84.5)=    0 ( 233.4,  84.4)=    0 ( 231.3,  84.3)=    0 ( 229.2,  84.3)=    0 ( 227.2,  84.3)=    0 
      5 | ( 295.0,  98.0)=56093 ( 290.9,  97.9)=    0 ( 291.0,  98.0)=    0 ( 282.6,  97.6)=    0 ( 278.5,  97.6)=    0 ( 274.4,  97.6)=    0 ( 270.3,  97.7)=    0 ( 266.2,  97.8)=    0 ( 262.1,  98.0)=    0 ( 258.0,  98.2)=    0 
      6 | (  96.0, 215.0)=55524 (  91.6, 215.0)=    0 (  92.0, 215.0)=    0 (  83.0, 214.9)=    0 (  78.7, 214.9)=    0 (  74.5, 214.9)=    0 (  70.2, 214.9)=    0 (  65.9, 214.9)=    0 (  61.7, 214.9)=    0 (  57.5, 214.9)=    0 
      7 | ( 295.0,  87.0)=53710 ( 290.8,  86.8)=    0 ( 291.0,  87.0)=    0 ( 282.6,  86.3)=    0 ( 278.5,  86.4)=    0 ( 274.3,  86.4)=    0 ( 270.2,  86.4)=    0 ( 266.1,  86.6)=    0 ( 261.9,  86.8)=    0 ( 257.8,  86.9)=    0 
      8 | ( 295.0,  98.0)=56093 ( 290.9,  97.9)=    0 ( 291.0,  98.0)=    0 ( 282.6,  97.6)=    0 ( 278.5,  97.6)=    0 ( 274.4,  97.6)=    0 ( 270.3,  97.7)=    0 ( 266.2,  97.8)=    0 ( 262.1,  98.0)=    0 ( 258.0,  98.2)=    0 
      9 | ( 115.0, 116.0)=48050 ( 112.0, 116.0)=    0 ( 112.0, 116.0)=    0 ( 106.2, 116.0)=    0 ( 103.3, 115.9)=    0 ( 100.4, 115.9)=    0 (  97.5, 115.9)=    0 (  94.7, 115.9)=    0 (  91.8, 115.8)=    0 (  89.1, 115.8)=    0 
     10 | ( 295.0, 108.0)=46381 ( 290.8, 108.0)=    0 ( 291.0, 108.0)=    0 ( 282.6, 107.8)=    0 ( 278.5, 107.8)=    0 ( 274.4, 107.8)=    0 ( 270.3, 107.9)=    0 ( 266.2, 107.9)=    0 ( 262.0, 108.1)=    0 ( 257.9, 108.2)=    0 
     11 | ( 115.0, 137.0)=45009 ( 112.2, 137.1)=    0 ( 112.0, 137.0)=    0 ( 106.4, 137.2)=    0 ( 103.5, 137.2)=    0 ( 100.7, 137.3)=    0 (  97.9, 137.3)=    0 (  95.1, 137.4)=    0 (  92.4, 137.4)=    0 (  89.5, 137.5)=    0 
     12 | (  26.0, 139.0)=42990 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 
     13 | (  33.0, 169.0)=42589 (  28.5, 168.9)=    0 (  29.0, 169.0)=    0 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 
     14 | (  90.0,  76.0)=41511 (  85.3,  76.1)=    0 (  85.0,  76.0)=    0 (  76.2,  76.3)=    0 (  71.6,  76.4)=    0 (  67.2,  76.5)=    0 (  62.7,  76.6)=    0 (  58.3,  76.7)=    0 (  54.0,  76.7)=    0 (  49.6,  76.8)=    0 
     15 | (  27.0, 149.0)=40650 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 
     16 | ( 145.0,  62.0)=40299 ( 142.8,  62.0)=    0 ( 143.0,  62.0)=    0 ( 138.5,  62.0)=    0 ( 136.3,  61.9)=    0 ( 134.2,  61.9)=    0 ( 132.1,  61.9)=    0 ( 130.0,  61.9)=    0 ( 128.0,  62.0)=    0 ( 125.9,  62.0)=    0 
     17 | (  32.0, 159.0)=39102 (  27.5, 158.9)=    0 (  28.0, 159.0)=    0 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 
     18 | (  94.0, 205.0)=38661 (  89.5, 205.1)=    0 (  90.0, 205.0)=    0 (  80.6, 205.2)=    0 (  76.2, 205.2)=    0 (  71.9, 205.3)=    0 (  67.6, 205.4)=    0 (  63.3, 205.5)=    0 (  59.0, 205.5)=    0 (  54.8, 205.6)=    0 
     19 | (  34.0, 189.0)=38380 (  29.5, 188.8)=    0 (  30.0, 189.0)=    0 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 
     20 | (  33.0, 179.0)=37963 (  28.5, 178.9)=    0 (  29.0, 179.0)=    0 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 
     21 | ( 128.0, 203.0)=37834 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 
     22 | ( 272.0,  99.0)=36078 ( 269.7,  99.1)=    0 ( 270.0,  99.0)=    0 ( 265.5,  99.3)=    0 ( 263.4,  99.4)=    0 ( 261.2,  99.5)=    0 ( 259.1,  99.6)=    0 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 
     23 | ( 259.0, 156.0)=35933 ( 255.8, 156.0)=    0 ( 256.0, 156.0)=    0 ( 249.6, 156.1)=    0 ( 246.6, 156.1)=    0 ( 243.5, 156.1)=    0 ( 240.4, 156.1)=    0 ( 237.4, 156.2)=    0 ( 234.3, 156.2)=    0 ( 231.3, 156.2)=    0 
     24 | ( 287.0, 163.0)=35488 ( 283.1, 162.8)=    0 ( 283.0, 163.0)=    0 ( 275.4, 162.3)=    0 ( 271.4, 162.1)=    0 ( 267.5, 162.0)=    0 ( 263.6, 161.8)=    0 ( 259.7, 161.7)=    0 ( 255.8, 161.5)=    0 ( 251.9, 161.4)=    0 
     25 | ( 273.0,  80.0)=34699 ( 270.8,  80.1)=    0 ( 271.0,  80.0)=    0 ( 266.6,  80.0)=    0 ( 264.5,  80.1)=    0 ( 262.4,  80.1)=    0 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 (  -1.0,  -1.0)=   -5 
     26 | ( 286.0, 182.0)=32861 ( 282.2, 181.8)=    0 ( 282.0, 182.0)=    0 ( 274.6, 181.5)=    0 ( 270.8, 181.3)=    0 ( 267.0, 181.2)=    0 ( 263.2, 181.0)=    0 ( 259.5, 180.9)=    0 ( 255.6, 180.8)=    0 ( 251.8, 180.7)=    0 
     27 | ( 285.0, 193.0)=32627 ( 281.2, 192.9)=    0 ( 281.0, 193.0)=    0 ( 273.6, 192.7)=    0 ( 269.9, 192.6)=    0 ( 266.1, 192.5)=    0 ( 262.3, 192.4)=    0 ( 258.5, 192.3)=    0 ( 254.7, 192.2)=    0 ( 250.9, 192.1)=    0 
     28 | ( 282.0, 151.0)=32582 ( 278.2, 150.9)=    0 ( 278.0, 151.0)=    0 ( 270.5, 150.6)=    0 ( 266.7, 150.5)=    0 ( 262.9, 150.4)=    0 ( 259.1, 150.3)=    0 ( 255.3, 150.3)=    0 ( 251.4, 150.2)=    0 ( 247.6, 150.2)=    0 
     29 | ( 256.0, 168.0)=31806 ( 252.6, 168.1)=    0 ( 253.0, 168.0)=    0 ( 246.1, 168.3)=    0 ( 242.8, 168.3)=    0 ( 239.6, 168.3)=    0 ( 236.3, 168.4)=    0 ( 233.2, 168.4)=    0 ( 230.0, 168.5)=    0 ( 226.8, 168.5)=    0 
     30 | ( 263.0,  88.0)=31282 ( 260.9,  88.0)=    0 ( 261.0,  88.0)=    0 ( 256.7,  88.0)=    0 ( 254.6,  88.1)=    0 ( 252.5,  88.1)=    0 ( 250.5,  88.0)=    0 ( 248.4,  88.1)=    0 ( 246.3,  88.2)=    0 ( 244.2,  88.1)=    0 
     31 | ( 260.0,  74.0)=30631 ( 257.9,  74.0)=    0 ( 258.0,  74.0)=    0 ( 253.7,  74.0)=    0 ( 251.6,  74.0)=    0 ( 249.5,  74.0)=    0 ( 247.5,  73.9)=    0 ( 245.4,  73.9)=    0 ( 243.3,  73.9)=    0 ( 241.2,  73.8)=    0 
     32 | ( 105.0, 117.0)=30137 ( 102.0, 117.1)=    0 ( 102.0, 117.0)=    0 (  96.1, 117.0)=    0 (  93.2, 116.9)=    0 (  90.3, 116.9)=    0 (  87.4, 116.9)=    0 (  84.5, 116.8)=    0 (  81.7, 116.8)=    0 (  78.8, 116.7)=    0 
     33 | (  91.0,  86.0)=29976 (  86.3,  86.1)=    0 (  86.0,  86.0)=    0 (  77.2,  86.3)=    0 (  72.6,  86.4)=    0 (  68.2,  86.5)=    0 (  63.8,  86.6)=    0 (  59.3,  86.7)=    0 (  54.9,  86.7)=    0 (  50.6,  86.8)=    0 
     34 | ( 262.0, 100.0)=29531 ( 259.8, 100.0)=    0 ( 260.0, 100.0)=    0 ( 255.7, 100.0)=    0 ( 253.7, 100.0)=    0 ( 251.6, 100.1)=    0 ( 249.6, 100.2)=    0 ( 247.5, 100.3)=    0 ( 245.3, 100.4)=    0 ( 243.2, 100.5)=    0 
     35 | (  82.0,  24.0)=28727 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 
     36 | (  30.0, 199.0)=28427 (  25.6, 198.8)=    0 (  26.0, 199.0)=    0 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 
     37 | (  31.0, 215.0)=28085 (  26.6, 214.8)=    0 (  27.0, 215.0)=    0 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 (  -1.0,  -1.0)=   -4 
